,timestamp,Values_Type,GeneReal
377,2023_Q1_labor_12h,HIDRAULICA,8177514.218200001
378,2023_Q1_labor_12h,SOLAR,277636.7108
379,2023_Q1_labor_12h,TERMICA,1573979.2452
380,2023_Q1_labor_13h,COGENERADOR,102566.924
381,2023_Q1_labor_13h,EOLICA,23977.268399999997
382,2023_Q1_labor_13h,HIDRAULICA,8111412.5922
383,2023_Q1_labor_13h,SOLAR,277587.1516
384,2023_Q1_labor_13h,TERMICA,1595251.8244
385,2023_Q1_labor_14h,COGENERADOR,102814.9624
386,2023_Q1_labor_14h,EOLICA,25658.0942
387,2023_Q1_labor_14h,HIDRAULICA,8159326.9144
388,2023_Q1_labor_14h,SOLAR,266117.515
389,2023_Q1_labor_14h,TERMICA,1609344.3728
390,2023_Q1_labor_15h,COGENERADOR,101939.3882
391,2023_Q1_labor_15h,EOLICA,26109.666
392,2023_Q1_labor_15h,HIDRAULICA,8285652.0117999995
393,2023_Q1_labor_15h,SOLAR,247513.6224
394,2023_Q1_labor_15h,TERMICA,1620892.6641999998
395,2023_Q1_labor_16h,COGENERADOR,103051.9324
396,2023_Q1_labor_16h,EOLICA,26421.457199999997
397,2023_Q1_labor_16h,HIDRAULICA,8296390.726
398,2023_Q1_labor_16h,SOLAR,210454.7222
399,2023_Q1_labor_16h,TERMICA,1630772.5512
400,2023_Q1_labor_17h,COGENERADOR,104617.913
401,2023_Q1_labor_17h,EOLICA,27066.0502
402,2023_Q1_labor_17h,HIDRAULICA,8198908.514199999
403,2023_Q1_labor_17h,SOLAR,137217.24060000002
404,2023_Q1_labor_17h,TERMICA,1629442.858
405,2023_Q1_labor_18h,COGENERADOR,105791.774
406,2023_Q1_labor_18h,EOLICA,27652.307600000004
407,2023_Q1_labor_18h,HIDRAULICA,8046109.352200001
408,2023_Q1_labor_18h,SOLAR,27234.674199999998
409,2023_Q1_labor_18h,TERMICA,1628883.9034
410,2023_Q1_labor_19h,COGENERADOR,107162.34199999999
411,2023_Q1_labor_19h,EOLICA,27762.448399999997
412,2023_Q1_labor_19h,HIDRAULICA,8501741.1798
413,2023_Q1_labor_19h,SOLAR,19.292
414,2023_Q1_labor_19h,TERMICA,1673270.75
415,2023_Q1_labor_1h,COGENERADOR,108156.60859999999
416,2023_Q1_labor_1h,EOLICA,22402.228199999998
417,2023_Q1_labor_1h,HIDRAULICA,6546404.5479999995
418,2023_Q1_labor_1h,SOLAR,0.0098
419,2023_Q1_labor_1h,TERMICA,1485265.2488
420,2023_Q1_labor_20h,COGENERADOR,108017.8024
421,2023_Q1_labor_20h,EOLICA,26359.5736
