hydro_project,timeseries,hydro_avg_flow_mw,hydro_min_flow_mw
H_ElEden,2023_Q1_holidays,8.469639999999998,0.25553
H_ElEden,2023_Q1_labor,8.47176,0.00787
H_ElEden,2023_Q2_holidays,10.8726,0.27226
H_ElEden,2023_Q2_labor,11.101360000000001,0.03986
H_ElEden,2023_Q3_holidays,5.93291,0.7165199999999999
H_ElEden,2023_Q3_labor,5.43075,0.041280000000000004
H_ElEden,2023_Q4_holidays,8.3676,0.32216
H_ElEden,2023_Q4_labor,7.88417,0.13862
H_ElLimonar,2023_Q1_holidays,17.708295,1e-05
H_ElLimonar,2023_Q1_labor,17.485689999999998,1e-05
H_ElLimonar,2023_Q2_holidays,17.796795000000003,0.02252
H_ElLimonar,2023_Q2_labor,17.77205,1e-05
H_ElLimonar,2023_Q3_holidays,17.84859,2.01356
H_ElLimonar,2023_Q3_labor,17.839875,1e-05
H_ElLimonar,2023_Q4_holidays,17.818875,0.0015300000000000001
H_ElLimonar,2023_Q4_labor,17.83981,1e-05
H_ElMolino,2023_Q1_holidays,10.208275,6.89269
H_ElMolino,2023_Q1_labor,10.212845,0.05769
H_ElMolino,2023_Q2_holidays,10.27441,1.6795499999999999
H_ElMolino,2023_Q2_labor,10.23514,0.00015
H_ElMolino,2023_Q3_holidays,16.117145,2.04679
H_ElMolino,2023_Q3_labor,15.51672,0.10437
H_ElMolino,2023_Q4_holidays,16.227314999999997,5e-05
H_ElMolino,2023_Q4_labor,15.37505,0.00013000000000000002
H_Florida,2023_Q1_holidays,11.268,0.02157
H_Florida,2023_Q1_labor,11.638985,0.00453
H_Florida,2023_Q2_holidays,12.4905,0.00085
H_Florida,2023_Q2_labor,13.632,0.001
H_Florida,2023_Q3_holidays,12.569,0.003
H_Florida,2023_Q3_labor,13.348,0.02244
H_Florida,2023_Q4_holidays,12.2665,0.01551
H_Florida,2023_Q4_labor,11.187,0.00146
H_Frisolera,2023_Q1_holidays,0.39844,0.00244
H_Frisolera,2023_Q1_labor,0.39394999999999997,0.00026000000000000003
H_Frisolera,2023_Q2_holidays,0.42646000000000006,0.0062
H_Frisolera,2023_Q2_labor,0.42055000000000003,7.000000000000001e-05
H_Frisolera,2023_Q3_holidays,0.371315,0.040060000000000005
H_Frisolera,2023_Q3_labor,0.36108999999999997,7.000000000000001e-05
H_Frisolera,2023_Q4_holidays,0.333665,0.00033
H_Frisolera,2023_Q4_labor,0.33887500000000004,0.00053
H_GUATRON,2023_Q1_holidays,508.43622,2.24973
H_GUATRON,2023_Q1_labor,506.89,0.05814
H_GUATRON,2023_Q2_holidays,504.33064,1.9493800000000001
H_GUATRON,2023_Q2_labor,463.75008,0.09
H_GUATRON,2023_Q3_holidays,460.37504,1.38
H_GUATRON,2023_Q3_labor,432.2,0.06
H_GUATRON,2023_Q4_holidays,457.96006,0.03
H_GUATRON,2023_Q4_labor,459.82007,0.06
H_Guacaica,2023_Q1_holidays,0.8853300000000001,0.030699999999999998
H_Guacaica,2023_Q1_labor,0.87741,0.00198
H_Guacaica,2023_Q2_holidays,0.9091,0.32680000000000003
H_Guacaica,2023_Q2_labor,0.89127,0.00099
H_Guacaica,2023_Q3_holidays,0.94277,0.24162999999999998
H_Guacaica,2023_Q3_labor,0.93979,0.00198
H_Guacaica,2023_Q4_holidays,0.8744299999999999,0.09209999999999999
H_Guacaica,2023_Q4_labor,0.8724500000000001,0.00099
H_Guaviomeno,2023_Q1_holidays,5.30821,0.6563
H_Guaviomeno,2023_Q1_labor,5.08518,1e-05
H_Guaviomeno,2023_Q2_holidays,8.600735,0.02151
H_Guaviomeno,2023_Q2_labor,5.28919,2.9999999999999997e-05
H_Guaviomeno,2023_Q3_holidays,9.77821,0.0007
H_Guaviomeno,2023_Q3_labor,5.320645,1e-05
H_Guaviomeno,2023_Q4_holidays,9.652070000000002,2.9999999999999997e-05
H_Guaviomeno,2023_Q4_labor,5.189520000000001,2e-05
H_Herradura,2023_Q1_holidays,13.948,0.847
H_Herradura,2023_Q1_labor,13.9634,0.0154
H_Herradura,2023_Q2_holidays,15.0898,0.0198
H_Herradura,2023_Q2_labor,14.2912,0.0022
H_Herradura,2023_Q3_holidays,13.830300000000001,1.0208
H_Herradura,2023_Q3_labor,14.0151,0.0022
H_Herradura,2023_Q4_holidays,10.7041,0.0352
H_Herradura,2023_Q4_labor,10.791,0.0022
H_Inza,2023_Q1_holidays,0.35467000000000004,0.00639
H_Inza,2023_Q1_labor,0.347765,0.00198
H_Inza,2023_Q2_holidays,0.37942000000000004,0.00357
H_Inza,2023_Q2_labor,0.36872000000000005,0.00309
H_Inza,2023_Q3_holidays,0.39581,0.047
H_Inza,2023_Q3_labor,0.396525,4e-05
H_Inza,2023_Q4_holidays,0.380905,0.01133
H_Inza,2023_Q4_labor,0.37472000000000005,5.9999999999999995e-05
H_IquiraI,2023_Q1_holidays,2.10924,0.6319
H_IquiraI,2023_Q1_labor,2.0837,5e-05
H_IquiraI,2023_Q2_holidays,2.11896,0.08283
H_IquiraI,2023_Q2_labor,2.105405,5e-05
H_IquiraI,2023_Q3_holidays,2.0333449999999997,0.00022
H_IquiraI,2023_Q3_labor,2.021225,0.00086
H_IquiraI,2023_Q4_holidays,2.09774,0.3504
H_IquiraI,2023_Q4_labor,2.1102350000000003,0.00076
H_IquiraII,2023_Q1_holidays,1.3085550000000001,0.12348
H_IquiraII,2023_Q1_labor,1.31355,0.0064800000000000005
H_IquiraII,2023_Q2_holidays,1.293795,0.64458
H_IquiraII,2023_Q2_labor,1.29348,0.00017999999999999998
H_IquiraII,2023_Q3_holidays,1.238175,0.00045
H_IquiraII,2023_Q3_labor,1.2357,0.0008100000000000001
H_JuanGarcia,2023_Q1_holidays,2.1165000000000003,0.48844
H_JuanGarcia,2023_Q1_labor,2.2095,0.05067
H_JuanGarcia,2023_Q2_holidays,3.2584,0.13738999999999998
H_JuanGarcia,2023_Q2_labor,3.0686,0.0025499999999999997
H_JuanGarcia,2023_Q3_holidays,3.336,0.13205
H_JuanGarcia,2023_Q3_labor,3.28345,0.00346
H_JuanGarcia,2023_Q4_holidays,3.2552,0.02646
H_JuanGarcia,2023_Q4_labor,3.2596999999999996,0.019780000000000002
H_LAGUNETA,2023_Q1_holidays,17.617105000000002,0.30729
H_LAGUNETA,2023_Q1_labor,14.963700000000001,1e-05
H_LAGUNETA,2023_Q2_holidays,17.83821,2.9999999999999997e-05
